Inspection Date,Zip,Failed
2024-10-25,60609,0
2022-04-19,60647,1
2022-04-19,60639,1
2022-04-22,60638,0
2022-04-22,60620,1
2024-10-25,60660,0
2024-10-25,60666,0
2022-04-26,60657,1
2024-10-25,60632,0
2024-10-25,60666,0
2022-04-27,60614,1
2022-05-03,60620,1
2022-05-03,60606,0
2024-10-25,60643,0
2024-10-25,60605,0
2022-05-04,60632,0
2022-05-05,60625,1
2022-05-06,60629,1
2022-05-10,60614,1
2024-10-25,60614,0
2022-05-10,60660,1
2022-05-16,60659,0
2022-05-11,60633,1
2024-10-24,60647,0
2024-10-25,60623,0
2022-05-16,60610,0
2022-05-19,60624,0
2022-05-20,60632,1
2024-10-24,60639,0
2024-10-24,60629,0
2022-11-04,60657,1
2024-10-24,60602,0
2024-10-24,60623,0
2022-11-21,60602,1
2022-11-30,60645,1
2022-11-30,60632,0
2022-11-30,60632,0
2022-12-01,60659,0
2022-12-01,60620,1
2024-10-24,60610,0
2024-10-24,60603,0
2022-12-06,60636,1
2022-12-06,60604,1
2022-12-07,60641,0
2022-12-08,60625,0
2022-12-08,60645,0
2022-12-09,60653,0
2022-12-13,60625,0
2022-12-15,60657,1
2022-12-16,60628,1
2024-10-24,60643,0
2022-12-19,60632,0
2022-12-20,60641,0
2022-12-20,60628,1
2022-12-21,60645,1
2022-12-21,60651,1
2022-12-21,60628,0
2024-10-23,60649,0
2024-10-23,60645,0
2024-10-23,60661,0
2023-01-05,60619,0
2023-01-09,60619,1
2024-10-23,60620,1
2024-10-23,60641,0
2023-01-11,60612,0
2023-01-12,60617,1
2023-01-12,60628,0
2023-01-17,60657,0
2023-01-17,60634,1
2023-01-13,60616,0
2024-10-23,60640,0
2024-10-23,60653,0
2024-10-23,60620,0
2023-01-18,60610,0
2023-01-18,60617,1
2024-10-23,60644,0
2023-01-19,60639,1
2023-01-23,60611,0
2024-10-23,60629,0
2024-10-23,60653,0
2024-10-23,60618,0
2024-10-23,60607,0
2024-10-22,60626,0
2023-05-31,60640,0
2024-10-22,60647,0
2024-10-22,60606,0
2024-10-22,60618,0
2024-10-22,60645,0
2024-10-22,60625,0
2023-06-16,60644,0
2024-10-22,60609,0
2023-06-21,60617,1
2024-10-22,60606,0
2023-06-26,60640,1
2023-06-22,60621,0
2023-07-10,60632,1
2024-10-22,60629,0
2024-10-22,60617,0
2024-10-21,60603,0
2023-08-03,60638,0
2024-10-21,60625,1
2023-12-14,60657,0
2024-10-21,60611,0
2024-10-21,60647,0
2024-10-21,60606,0
2024-10-21,60622,0
2024-10-21,60611,0
2024-10-21,60613,0
2024-10-21,60611,0
2024-01-22,60660,1
2024-01-23,60641,1
2024-01-23,60619,0
2024-10-21,60611,0
2024-01-26,60617,1
2024-01-29,60631,0
2024-01-29,60616,1
2024-10-18,60606,1
2024-10-18,60608,0
2024-02-06,60608,1
2024-10-18,60639,0
2024-10-18,60608,0
2024-10-18,60649,0
2024-10-18,60640,0
2024-02-26,60614,1
2024-10-18,60601,0
2024-02-27,60617,0
2024-03-05,60614,0
2024-10-17,60608,0
2024-03-05,60620,0
2024-10-17,60646,0
2024-10-17,60607,0
2024-10-17,60646,0
2024-10-17,60618,0
2024-10-17,60707,0
2024-10-17,60611,0
2024-10-17,60647,0
2024-03-11,60624,1
2024-03-11,60614,0
2024-10-17,60624,1
2024-10-17,60646,0
2024-10-17,60616,0
2024-10-17,60622,0
2024-10-17,60649,0
2024-10-17,60606,0
2024-10-17,60707,0
2024-10-16,60606,0
2024-10-16,60660,0
2024-10-16,60604,0
2024-10-17,60647,0
2024-10-17,60618,0
2024-03-27,60603,0
2024-10-16,60639,0
2024-10-16,60654,0
2024-10-16,60632,0
2024-10-16,60613,0
2024-10-16,60620,0
2024-10-16,60640,0
2024-04-16,60601,0
2024-10-16,60655,0
2024-10-16,60605,0
2024-10-15,60654,0
2024-05-14,60625,1
2024-05-17,60639,1
2024-05-20,60654,0
2024-08-05,60614,0
2024-08-05,60618,1
2024-10-15,60606,0
2024-08-08,60632,1
2024-08-09,60659,1
2024-08-12,60611,0
2024-10-15,60601,0
2024-08-12,60653,1
2024-10-15,60647,0
2024-10-15,60623,0
2024-10-15,60660,0
2024-10-15,60645,0
2024-10-15,60618,0
2024-08-28,60636,1
2024-10-15,60643,0
2024-10-15,60629,0
2024-10-15,60607,0
2024-09-04,60613,1
2024-10-11,60657,0
2024-10-11,60622,0
2024-09-17,60613,1
2024-09-20,60628,0
2024-10-11,60649,0
2024-09-24,60654,0
2024-09-25,60629,0
2024-10-11,60607,0
2024-10-11,60707,0
2024-10-11,60647,0
2024-10-10,60615,0
2024-10-10,60614,0
2024-10-10,60614,0
2024-10-01,60614,1
2024-10-03,60654,1
2024-10-10,60647,0
2024-10-10,60629,0
2024-10-10,60614,0
2024-10-10,60632,0
2024-10-10,60638,0
2024-10-10,60619,0
2024-10-21,60617,0
2024-10-10,60606,0
2024-10-10,60625,0
2024-10-28,60640,0
2024-11-06,60625,1
2024-10-10,60611,0
2024-11-13,60640,0
2024-11-20,60633,0
2024-11-22,60647,0
2024-12-03,60660,0
2024-10-08,60642,0
2024-10-09,60657,0
2024-12-09,60616,0
2024-10-08,60606,0
2024-10-08,60639,0
2024-10-08,60638,0
2024-10-08,60657,0
2024-10-08,60657,0
2024-10-08,60608,0
2024-10-08,60608,0
2024-10-08,60657,0
2024-10-08,60622,0
2024-10-08,60660,0
2019-10-31,60623,1
2024-10-08,60631,0
2024-10-07,60649,0
2024-10-07,60645,0
2024-10-07,60641,0
2024-10-07,60605,0
2024-10-07,60707,0
2024-10-07,60607,0
2024-10-07,60620,0
2024-10-07,60615,0
2024-10-07,60653,0
2024-10-07,60620,1
2024-10-07,60827,0
2024-10-04,60615,0
2024-10-04,60619,0
2024-10-04,60645,0
2024-10-04,60606,0
2024-10-04,60622,0
2024-10-04,60637,0
2024-10-04,60615,0
2024-10-04,60659,0
2024-10-04,60644,1
2024-10-04,60618,0
2024-10-03,60629,0
2024-10-03,60637,0
2024-10-03,60622,0
2024-10-03,60632,0
2024-10-03,60641,1
2024-10-03,60609,0
2024-10-03,60630,0
2024-10-03,60628,0
2024-10-03,60660,0
2024-10-03,60609,0
2024-10-02,60601,0
2024-10-02,60660,0
2024-10-02,60657,0
2024-10-02,60610,0
2024-10-02,60614,0
2024-10-02,60646,0
2024-10-02,60629,0
2024-10-02,60609,0
2024-10-02,60613,0
2024-10-01,60653,0
2024-10-01,60601,0
2024-10-01,60614,0
2024-10-01,60609,0
2024-10-01,60618,0
2024-10-01,60613,0
2024-10-01,60614,0
2024-10-01,60610,0
2024-10-01,60615,0
2024-10-01,60601,0
2024-10-01,60639,0
2024-10-01,60646,0
2024-10-01,60657,0
2024-09-30,60606,0
2024-09-30,60606,0
2024-09-30,60654,0
2024-09-30,60606,0
2024-09-27,60612,1
2024-09-27,60614,0
2024-09-27,60628,0
2024-09-27,60647,0
2024-09-27,60625,0
2024-09-27,60615,0
2024-09-27,60629,0
2024-09-27,60606,0
2024-09-27,60608,1
2024-09-26,60637,0
2024-09-26,60607,0
2024-09-26,60707,0
2024-09-26,60630,0
2024-09-26,60638,0
2024-09-25,60637,0
2024-09-25,60601,0
2024-09-25,60617,0
2024-09-25,60615,0
2024-09-25,60629,0
2024-09-25,60619,0
2024-09-25,60609,0
2024-09-25,60614,0
2024-09-25,60615,0
2024-09-25,60656,1
2024-09-25,60618,0
2024-09-25,60601,0
2024-09-25,60618,0
2024-09-25,60654,1
2024-09-25,60644,1
2024-09-25,60607,0
2024-09-25,60659,0
2024-09-25,60647,0
2024-09-24,60601,0
2024-09-24,60622,0
2024-09-24,60631,0
2024-09-24,60601,0
2024-09-24,60622,0
2024-09-24,60621,0
2024-09-24,60651,0
2024-09-24,60654,0
2024-09-24,60646,0
2024-09-24,60647,0
2024-09-24,60605,0
2024-09-23,60618,0
2024-09-23,60607,0
2024-09-23,60660,0
2024-09-23,60647,0
2024-09-23,60649,0
2024-09-23,60622,0
2024-09-23,60654,0
2024-09-23,60610,0
2024-09-23,60649,0
2024-09-23,60659,0
2024-09-23,60647,1
2024-09-23,60649,0
2024-09-23,60623,0
2024-09-23,60642,0
2024-09-23,60613,0
2024-09-23,60634,0
2024-09-20,60613,0
2024-09-20,60661,0
2024-09-20,60647,0
2024-09-20,60623,0
2024-09-20,60613,0
2024-09-20,60623,0
2024-09-20,60634,0
2024-09-20,60632,0
2024-09-19,60608,0
2024-09-19,60607,0
2024-09-19,60646,0
2019-01-03,60607,0
2019-01-03,60608,0
2024-09-19,60601,0
